x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-5,-9,9,-4,37,44,53,50,35,14,-9,19
-3,-9,10,-4,39,45,53,49,36,15,-8,18
-5,-9,9,-5,39,46,53,48,35,14,-8,18
-4,-9,10,-5,40,45,53,50,36,13,-9,19
-5,-12,13,0,52,55,52,56,12,-23,-46,-2
5,-3,14,5,42,40,41,48,15,-17,-28,6
7,-1,18,9,47,43,42,50,14,-24,-34,4
7,0,22,8,44,42,40,47,18,-17,-24,8
-2,-11,12,0,46,49,48,52,19,-5,-28,6
-5,-12,9,-3,41,46,51,50,30,8,-14,15
-2,-8,10,-2,41,46,49,49,31,7,-12,13
-2,-9,12,-2,41,45,52,48,31,7,-14,15
-3,-9,10,-3,39,45,51,50,30,11,-12,17
-4,-9,11,-3,39,43,52,49,31,10,-12,17
-3,-9,10,-3,38,44,52,48,33,9,-8,17
-4,-10,9,-4,39,46,54,51,35,13,-11,19
-6,-10,9,-6,40,45,54,51,35,15,-8,20
-6,-10,7,-5,39,44,53,50,37,14,-7,19
-7,-10,8,-7,40,44,53,50,35,17,-5,21
-5,-9,7,-4,39,45,53,51,36,15,-7,19
-5,-10,9,-5,38,45,52,50,34,17,-8,19
-4,-11,8,-5,38,45,53,50,36,15,-7,21
-5,-10,8,-6,40,45,53,49,39,17,-5,21
-6,-12,9,-7,40,46,53,50,39,19,-5,25
-9,-12,4,-9,41,48,56,51,45,27,0,29
-15,-17,1,-13,43,49,56,52,45,22,-1,27
-24,-28,-9,-24,40,47,56,53,47,22,-2,28
-28,-31,-12,-28,41,49,56,53,48,24,-3,27
-31,-32,-13,-28,40,50,56,52,48,22,-4,27
-32,-32,-14,-29,41,51,56,51,48,22,-2,25
-31,-32,-12,-29,39,50,56,52,46,23,-4,25
-32,-33,-13,-29,39,50,55,52,46,22,-4,27
-30,-33,-12,-30,41,50,55,51,50,25,-2,29
-34,-36,-15,-33,38,49,55,51,48,24,-5,28
-32,-36,-16,-31,36,47,53,48,44,23,-3,24
-21,-23,-4,-20,37,45,54,48,34,14,-9,17
-9,-12,5,-8,34,41,47,46,27,8,-18,12
-4,-9,9,-4,35,42,48,45,26,7,-15,12
-2,-7,11,-1,32,38,47,43,25,5,-15,9
-2,-7,12,-2,33,38,46,43,27,5,-18,9
-3,-6,12,-2,34,38,46,43,27,5,-15,9
0,-5,13,0,33,38,44,44,27,4,-17,8
-2,-5,13,-1,33,38,45,43,25,5,-16,9
0,-6,13,0,34,38,45,44,25,5,-15,7
0,-5,12,0,33,39,46,43,24,6,-17,9
-1,-5,12,-2,33,37,46,43,24,5,-16,9
0,-5,12,0,33,38,44,42,24,4,-18,8
-1,-6,13,-1,32,36,45,42,25,4,-17,7
0,-5,12,-1,33,38,45,44,27,3,-19,7
-1,-6,14,0,32,38,43,42,22,4,-20,8
-1,-6,14,-2,33,38,44,42,22,5,-19,7
-2,-6,13,0,32,39,44,42,22,4,-18,9
-1,-5,12,0,30,37,43,42,21,-1,-24,7
0,-6,14,0,32,37,42,40,22,1,-20,5
-1,-4,13,0,31,37,42,42,22,0,-22,4
-1,-4,13,0,30,36,43,40,21,1,-22,6
-1,-4,12,0,32,37,42,41,21,0,-21,4
0,-5,13,0,31,37,43,41,21,1,-21,5
-1,-6,12,0,30,36,42,41,20,1,-21,6
-1,-5,12,-1,32,37,42,42,21,0,-24,5
0,-5,13,-1,32,36,42,41,21,0,-22,5
0,-5,13,0,31,37,43,40,22,-1,-22,5
-2,-5,12,0,31,37,43,41,21,-1,-22,5
-1,-5,13,-1,30,37,43,42,22,1,-22,5
-1,-6,13,0,31,37,43,42,19,-1,-22,6
-1,-5,13,0,32,37,43,40,22,0,-24,5
0,-4,13,-1,31,38,42,42,22,0,-22,5
0,-5,14,0,32,37,42,42,21,-1,-22,6
-2,-5,12,-1,30,36,44,42,22,0,-24,3
0,-4,12,-1,30,37,43,41,20,1,-23,5
0,-4,13,-1,31,37,44,42,22,0,-21,6
-1,-5,11,-1,32,37,42,41,21,0,-21,8
-1,-5,14,-1,32,36,44,41,21,0,-21,5
-1,-6,11,-1,32,37,45,43,22,3,-17,10
-3,-9,9,-4,35,41,47,46,28,7,-16,12
-9,-13,4,-9,39,46,53,50,36,13,-9,19
-14,-17,1,-14,43,50,57,53,46,22,0,27
-19,-21,-1,-18,43,51,58,56,53,29,4,33
-20,-22,-2,-18,42,53,59,55,54,32,5,34
-19,-22,-1,-18,43,52,58,54,52,31,2,34
-17,-20,0,-17,42,51,58,55,51,29,5,32
-16,-20,-2,-16,42,53,58,55,50,28,3,31
-16,-20,0,-16,42,52,58,55,49,28,2,32
-17,-19,0,-15,43,50,58,55,49,27,3,31
-16,-19,0,-15,43,51,58,54,48,27,1,29
-15,-19,0,-16,42,51,57,54,48,28,2,28
-16,-19,0,-15,41,51,58,54,48,26,2,32
-17,-18,-1,-17,43,51,57,54,47,28,2,29
-16,-18,0,-15,42,50,59,54,50,28,1,29
-16,-18,1,-16,42,50,59,55,48,27,1,31
-16,-19,0,-16,42,50,59,54,50,27,2,31
-16,-19,0,-16,43,51,59,54,49,27,0,28
-16,-19,0,-15,42,51,58,55,49,28,1,29
-17,-19,0,-16,44,51,59,55,50,30,3,29
-17,-20,0,-16,44,50,57,54,49,27,1,29
-17,-20,0,-16,42,51,57,55,49,27,1,31
-17,-19,1,-16,42,51,58,53,49,25,1,29
-15,-18,1,-14,43,52,58,55,49,22,0,30
-7,-26,8,6,69,61,49,67,0,-52,-73,-21
-3,-19,9,4,68,64,52,68,11,-39,-63,-8
-2,-13,11,1,58,56,52,61,22,-24,-38,7
-2,-12,11,0,55,54,50,58,24,-21,-35,10
-17,-37,-17,-13,64,54,58,75,18,-17,-58,-14
-13,-37,-13,-7,71,64,66,82,15,-29,-88,-25
-128,-205,-113,41,146,-16,-145,-20,-348,-187,-248,-456
-283,-277,-198,3,201,-37,-223,-104,-437,-144,-258,-771
-191,-227,-225,-49,208,59,-76,124,-139,-92,-321,-507
-152,-202,-313,-100,242,114,-14,328,-14,-36,-450,-688
-509,-472,-862,-6,680,130,-553,668,-28,37,-695,-3539
-361,-573,-793,482,698,138,-583,554,-375,-228,-902,-2022
-70,-141,-113,0,157,96,45,162,-25,-67,-244,-195
-108,-155,-158,-49,162,66,-12,144,-98,-77,-283,-393
-384,-320,-530,-321,394,69,-268,301,-113,-1,-415,-1976
-497,-572,-1159,458,797,183,-766,1258,67,47,-995,-4043
-334,-330,-329,-32,308,21,-235,47,-318,-125,-362,-941
17,-41,32,54,132,92,33,101,-45,-168,-180,-65
