x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-6,-17,5,-9,41,47,60,56,29,5,-15,14
-6,-14,7,-10,42,46,57,56,30,7,-15,13
-5,-13,7,-7,43,47,59,55,28,7,-15,12
-7,-15,7,-9,42,47,59,56,30,5,-17,12
-6,-15,8,-8,43,46,59,55,27,7,-14,14
-6,-15,7,-10,41,46,60,56,29,4,-14,15
-6,-15,7,-8,42,46,59,56,29,3,-18,12
-6,-16,7,-9,43,47,59,56,27,5,-13,11
-7,-15,7,-8,42,46,59,55,27,4,-15,13
-5,-15,7,-9,43,47,59,56,28,5,-17,14
-6,-15,6,-9,41,47,59,55,28,5,-16,11
-5,-15,8,-8,42,47,59,55,28,5,-14,14
-5,-15,8,-8,43,46,59,55,29,5,-15,11
-6,-14,7,-7,41,46,58,55,28,5,-15,15
-5,-14,7,-9,43,46,60,55,29,8,-14,15
-5,-15,7,-9,42,47,59,55,28,5,-16,13
-5,-16,7,-9,43,47,60,56,28,7,-15,13
-6,-15,7,-9,43,47,60,56,30,5,-12,13
-6,-15,7,-9,43,48,61,55,29,7,-14,14
-5,-14,7,-8,43,47,60,56,28,5,-13,15
-5,-15,7,-8,42,47,60,56,29,8,-14,15
-5,-15,6,-9,42,46,61,55,28,6,-13,15
-5,-16,7,-9,43,47,58,55,31,8,-14,13
-5,-15,7,-7,43,47,60,56,31,7,-13,15
-5,-15,6,-10,43,47,60,56,29,6,-16,13
-6,-15,7,-9,43,47,61,56,28,7,-14,16
-5,-15,8,-8,43,47,59,56,28,6,-14,14
-6,-14,7,-9,43,47,60,56,30,5,-12,16
-5,-15,8,-9,42,47,60,55,30,6,-15,15
-5,-15,9,-9,44,47,59,56,31,8,-13,15
-4,-14,9,-9,43,47,60,55,29,8,-14,12
-5,-13,8,-8,43,47,58,55,28,5,-14,12
-4,-13,10,-7,41,48,59,55,27,6,-14,12
-4,-13,10,-7,42,47,59,55,28,3,-15,12
-3,-12,9,-7,42,47,59,56,28,4,-15,14
-4,-14,9,-8,42,47,59,55,29,6,-14,12
