x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-7,-14,5,-9,40,46,60,55,29,1,-17,11
-7,-14,6,-11,39,47,60,56,26,2,-18,11
-7,-16,6,-10,40,46,59,56,28,4,-18,11
-7,-15,5,-11,41,47,60,56,28,4,-16,9
-7,-16,6,-10,42,47,61,56,27,5,-17,11
-7,-15,6,-11,42,47,61,57,29,4,-15,11
-7,-15,7,-11,41,46,61,56,29,4,-18,11
-7,-14,7,-11,41,48,60,57,28,4,-18,12
-6,-14,6,-9,40,47,60,56,28,1,-18,12
-7,-15,6,-10,42,47,60,56,30,2,-19,9
-6,-14,5,-11,41,48,59,56,26,4,-17,11
-6,-15,6,-10,41,47,60,57,29,2,-18,11
-5,-14,7,-9,41,47,60,54,27,5,-18,12
-6,-14,6,-10,41,47,61,56,29,2,-18,12
-5,-15,6,-10,41,48,61,55,28,4,-18,12
-7,-14,5,-11,40,46,60,56,28,5,-18,11
-7,-14,6,-10,42,47,59,56,27,3,-18,9
-6,-15,6,-11,41,47,61,56,27,2,-17,11
-6,-14,6,-10,41,47,61,55,26,6,-18,11
-6,-14,6,-9,42,47,60,57,29,3,-19,11
-5,-14,5,-10,40,47,61,56,29,3,-19,12
-5,-15,6,-10,42,46,59,56,28,2,-19,12
-6,-13,8,-9,41,47,61,56,29,3,-19,11
-6,-14,8,-11,41,47,61,56,27,5,-18,9
-6,-14,7,-8,41,48,60,57,27,3,-17,11
-6,-15,8,-10,41,47,60,57,28,5,-20,11
-7,-15,5,-10,41,47,60,57,25,0,-16,12
-6,-15,6,-11,40,48,61,56,28,4,-18,11
-7,-14,8,-9,41,47,60,57,24,3,-19,11
-6,-15,7,-10,40,47,60,56,29,4,-18,12
-6,-13,7,-9,41,48,60,56,28,2,-18,12
-6,-15,7,-9,41,47,60,56,28,4,-19,10
-5,-15,7,-10,42,47,61,56,27,3,-18,9
-7,-15,6,-11,41,48,61,58,28,4,-17,12
-6,-14,7,-10,41,47,60,56,30,4,-17,10
-6,-13,8,-10,40,47,60,57,27,1,-18,12
-6,-15,7,-11,41,48,61,56,28,4,-18,13
-6,-14,8,-10,41,48,59,56,28,3,-18,11
-7,-14,7,-10,41,47,62,56,27,4,-16,11
-7,-15,7,-10,41,48,59,57,28,5,-19,10
-4,-13,6,-10,42,48,61,56,27,3,-18,12
-6,-14,7,-10,41,48,60,56,28,4,-19,11
-5,-15,7,-10,42,47,61,56,30,2,-16,9
-6,-14,6,-11,41,48,60,56,28,3,-20,12
-6,-15,7,-11,41,47,59,56,28,4,-21,10
-7,-16,8,-10,41,47,61,56,27,4,-17,9
-6,-15,6,-10,41,48,60,56,27,4,-18,12
-6,-15,6,-10,42,48,61,57,28,4,-17,9
-6,-15,5,-11,41,47,61,57,29,6,-16,14
-6,-14,7,-10,40,47,60,56,28,5,-18,11
-5,-13,7,-9,42,47,60,56,27,3,-18,11
-6,-16,7,-11,42,49,61,57,28,4,-15,12
-7,-16,4,-13,42,48,62,58,29,5,-15,13
-10,-17,2,-14,43,49,62,58,30,6,-19,13
-14,-21,0,-17,45,52,64,59,34,10,-13,16
-15,-22,0,-18,44,52,65,60,36,12,-9,19
-14,-23,-2,-18,44,51,66,59,35,11,-9,18
-14,-21,0,-18,45,51,64,61,35,12,-10,19
-14,-22,0,-18,44,51,64,59,35,11,-9,21
-16,-22,0,-18,44,51,65,59,35,12,-13,17
-15,-22,0,-18,45,52,64,59,35,11,-9,18
-14,-21,0,-18,44,52,63,58,35,11,-10,18
-14,-23,0,-18,44,51,66,60,37,9,-12,18
-14,-22,0,-17,44,52,66,59,32,9,-11,17
