x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-4,-14,9,-4,43,45,56,50,19,-4,-22,5
-4,-14,9,-4,42,45,56,51,20,-4,-22,5
-4,-15,10,-4,43,46,55,50,22,-2,-24,8
-4,-15,8,-4,43,46,56,51,21,-3,-22,7
-3,-14,9,-4,41,45,56,51,23,-3,-22,5
-3,-12,8,-4,43,46,56,51,23,-4,-21,8
-2,-13,9,-4,43,46,56,51,22,-2,-21,8
-3,-14,8,-5,43,46,58,50,22,-2,-22,9
-3,-14,9,-4,43,46,57,49,22,-1,-22,7
-3,-14,9,-3,42,46,56,50,24,0,-19,9
-5,-15,9,-3,43,44,55,49,19,-5,-24,3
-6,-15,7,-6,43,47,56,50,21,-1,-24,6
-7,-18,5,-8,45,47,59,52,26,0,-17,8
-7,-19,5,-8,45,48,58,54,25,2,-20,13
-9,-18,5,-9,44,48,59,52,26,-1,-19,11
-8,-18,4,-8,45,47,58,52,25,0,-19,9
-8,-19,3,-9,45,49,57,52,25,-1,-20,9
-9,-18,4,-9,46,48,58,51,25,0,-19,9
-8,-18,5,-7,44,47,58,52,26,0,-20,9
