x1,x2,x3,x4,y1,y2,y3,y4,z1,z2,z3,z4
-7,-19,6,-3,55,55,56,59,24,-18,-39,2
-6,-16,8,-3,55,52,52,56,18,-17,-39,4
-4,-13,7,-1,52,49,49,55,18,-19,-36,4
-3,-13,9,0,51,46,47,52,18,-21,-34,4
-3,-11,7,-1,49,44,45,52,18,-19,-32,5
-3,-13,6,-3,50,45,46,52,19,-17,-31,6
-4,-13,9,0,51,45,45,52,18,-21,-34,5
-1,-11,9,-1,51,45,45,53,15,-23,-35,2
-1,-11,9,0,52,46,44,52,15,-24,-37,2
-1,-11,11,0,55,47,46,53,14,-28,-40,1
0,-13,10,1,54,48,44,53,14,-28,-42,0
-2,-11,10,1,54,47,45,54,15,-27,-41,2
-1,-11,10,1,55,48,46,54,16,-28,-42,0
-1,-12,10,0,56,48,46,55,13,-28,-41,-1
-1,-11,9,1,55,47,45,55,15,-28,-41,1
-1,-11,10,1,54,47,46,56,15,-27,-41,0
-1,-13,11,0,54,48,46,54,14,-27,-41,-1
0,-13,11,0,56,49,46,55,14,-28,-39,0
-1,-12,10,1,55,49,46,54,17,-28,-42,0
-1,-13,11,1,54,49,47,54,13,-28,-42,-1
-1,-12,10,0,55,48,47,55,15,-29,-42,0
-1,-12,10,0,56,48,47,55,13,-27,-44,0
-2,-11,9,0,55,49,47,54,14,-27,-42,-1
-2,-14,10,0,55,49,48,54,17,-25,-44,0
-1,-14,8,0,54,50,48,55,17,-25,-38,2
-4,-16,6,-2,54,48,48,54,18,-21,-37,3
-5,-17,3,-4,53,47,48,54,19,-18,-35,2
-5,-16,3,-4,52,45,48,54,21,-18,-34,3
-5,-17,4,-5,52,45,49,55,19,-17,-36,4
-4,-17,3,-3,51,46,47,54,22,-16,-32,3
-6,-17,3,-5,52,45,49,54,19,-17,-35,3
-5,-17,4,-4,53,46,48,55,17,-17,-35,4
-5,-17,3,-3,52,45,48,55,20,-15,-35,4
-6,-17,3,-4,52,47,49,55,20,-16,-34,2
-5,-17,4,-5,52,46,48,53,18,-18,-36,3
-5,-17,3,-4,51,46,49,55,21,-17,-35,2
-6,-18,3,-3,52,46,48,56,19,-16,-34,2
-6,-18,2,-5,53,46,48,56,21,-18,-35,2
-6,-17,2,-4,51,46,48,56,19,-18,-36,2
-5,-18,3,-4,52,45,49,55,18,-15,-33,2
-6,-17,0,-5,51,44,48,54,21,-15,-32,5
-7,-17,1,-6,51,45,48,54,22,-15,-34,4
-7,-19,2,-5,51,44,48,54,19,-15,-32,3
-6,-18,1,-6,51,45,48,55,19,-16,-34,5
-6,-18,0,-6,49,43,48,54,21,-15,-31,4
-9,-19,0,-6,50,45,49,55,21,-13,-31,3
-9,-22,2,-4,54,48,49,56,13,-24,-46,-5
-8,-20,6,-2,56,52,50,57,11,-29,-51,-5
-11,-20,6,-5,53,51,50,53,15,-19,-44,-2
-15,-26,0,-8,50,52,53,54,15,-14,-39,-5
-17,-29,0,-9,49,50,52,52,14,-11,-41,-7
-11,-19,3,-8,42,44,51,48,21,-4,-27,6
-11,-18,3,-6,42,44,51,48,19,-4,-28,4
-11,-19,5,-10,42,45,52,49,21,-4,-27,5
-10,-18,4,-8,43,46,52,49,21,-5,-26,7
-11,-17,6,-6,43,45,52,48,19,-6,-25,7
-10,-18,4,-8,42,46,51,48,22,-4,-25,7
-9,-18,5,-7,43,44,52,49,19,-4,-24,5
-11,-18,4,-8,43,44,51,48,21,-5,-25,5
-10,-18,5,-8,43,45,52,49,22,-3,-26,6
-9,-17,6,-7,43,46,52,49,20,-4,-25,6
-10,-17,4,-8,43,44,51,48,22,-6,-26,4
-9,-17,5,-6,43,45,51,48,22,-3,-25,7
-9,-17,5,-8,44,45,51,49,21,-3,-25,8
-9,-17,3,-8,44,47,52,49,21,0,-24,10
-9,-16,6,-6,45,46,53,48,22,-3,-24,7
-8,-15,6,-4,43,46,52,49,24,-2,-26,8
-7,-15,8,-5,44,45,53,48,21,-2,-25,7
-7,-16,8,-4,44,46,52,48,22,-2,-25,7
-6,-14,8,-5,44,46,53,49,21,-4,-25,8
-8,-15,8,-4,43,45,52,49,21,-1,-26,7
-6,-15,8,-4,45,46,53,48,22,-5,-26,8
-7,-14,8,-5,45,45,52,49,22,-3,-23,5
